,variables,VIF
296,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",52.79852777294406
297,"0__fft_coefficient__attr_""angle""__coeff_10",1308.51140590276
298,"0__fft_coefficient__attr_""imag""__coeff_9",1800006325.9102435
299,"0__fft_coefficient__attr_""angle""__coeff_11",1359.8978379791693
300,"0__fft_coefficient__attr_""real""__coeff_3",114284773.88141753
301,"0__fft_coefficient__attr_""imag""__coeff_6",233167386.6834932
302,"0__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",2.5627030024770914
303,0__ar_coefficient__coeff_6__k_10,100.30630900274267
304,"0__fft_coefficient__attr_""real""__coeff_8",467609880.8159019
305,"0__fft_coefficient__attr_""real""__coeff_9",176824230.40936077
306,"0__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",7583.89915200146
307,"0__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",39.40931736977129
308,"0__fft_coefficient__attr_""imag""__coeff_8",359636266.11907995
309,0__quantile__q_0.7,54.56385337896939
310,"0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",21447755154.636135
311,"0__fft_aggregated__aggtype_""centroid""",23.566988478036443
312,"0__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",16184629083.785528
313,0__energy_ratio_by_chunks__num_segments_10__segment_focus_3,35.978614224509414
314,"0__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",151907431691.92484
315,"0__fft_coefficient__attr_""real""__coeff_13",896587107.203445
316,"0__fft_coefficient__attr_""imag""__coeff_12",180970429.99630114
317,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",1.847022644494751
318,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",2.460445661614669
319,0__autocorrelation__lag_3,17.17986313505286
320,"0__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",47.961003182397164
321,0__ratio_beyond_r_sigma__r_3,2.114938866444936
322,"0__fft_coefficient__attr_""imag""__coeff_10",1788995952.8990233
323,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",1.5981059095839083
324,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",7.468153352216793
325,0__quantile__q_0.4,8.16601387692645
326,"0__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",137041519.26495326
327,"0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",7.628269643560306
328,0__ar_coefficient__coeff_9__k_10,6.956038052330131
329,0__energy_ratio_by_chunks__num_segments_10__segment_focus_1,20.189471423057647
330,"0__fft_coefficient__attr_""real""__coeff_7",4224771073.665203
331,0__mean_change,859391.9285922082
332,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",1334784.4657140612
333,"0__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",11.491040470770388
334,0__median,87.12617577511314
335,"0__fft_coefficient__attr_""imag""__coeff_7",91761463.31735048
336,"0__fft_coefficient__attr_""real""__coeff_11",616662278.4958998
337,0__index_mass_quantile__q_0.7,8.02123694057745
338,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",28.233459706846897
339,0__lempel_ziv_complexity__bins_5,6.361861329024354
340,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",4.510119302680388
341,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",1.7269217881417993
342,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",1.7269217881417993
343,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",2.507103462067459
344,0__partial_autocorrelation__lag_5,6.656708473029176
345,"0__fft_coefficient__attr_""imag""__coeff_5",528644432.050591
346,0__sum_of_reoccurring_values,295.96002463856763
347,0__mean_second_derivative_central,191050.51480030385
